武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,防御力,バフ,会心ダメ期待値,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),華館4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),334360,58712,1176,3445.668,2.51,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,332307,42603,1176,2769.418,2.51,3.044,1.00:2.04,2.04,,0.78:0.04,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,332307,42603,1176,2769.418,2.51,3.044,1.00:2.04,2.04,,0.47:0.66,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+防御%+防御%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,332131,40782,1176,2810.397,2.42,3.093,1.00:2.09,2.09,,0.44:0.71,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+岩バフ+防御%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,329129,39687,1176,2254.798,2.886,3.093,1.00:2.09,2.09,,0.44:0.71,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,327834,41029,1176,2213.819,2.976,3.044,1.00:2.04,2.04,,0.78:0.04,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,327834,41029,1176,2213.819,2.976,3.044,1.00:2.04,2.04,,0.47:0.66,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),324412,57796,1176,2890.069,2.976,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼以外、2凸、2色以上)+雲菫,323905,41725,1176,2890.069,1.976,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+防御%,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),322155,55729,1176,4001.267,2.51,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),319139,55752,1176,3445.668,2.976,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+防御%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,318934,35537,1331.7,2254.798,2.77,3.044,1.00:2.04,2.04,,0.78:0.04,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+防御%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,318934,35537,1331.7,2254.798,2.77,3.044,1.00:2.04,2.04,,0.47:0.66,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+防御%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,318934,40956,1331.7,2254.798,2.77,3.044,1.00:2.04,2.04,,0.78:0.04,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+防御%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,318934,40956,1331.7,2254.798,2.77,3.044,1.00:2.04,2.04,,0.47:0.66,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+防御%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,318786,38244,1176,2254.798,2.42,3.404,1.00:2.40,2.40,,0.60:0.40,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+防御%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,318786,38244,1176,2254.798,2.42,3.404,1.00:2.40,2.40,,0.29:1.02,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+会心率,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),318644,55952,1176,3445.668,2.51,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+防御%+防御%,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),318498,53578,1176,3486.647,2.42,3.293,1.00:2.29,2.29,,0.54:0.51,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),316646,50008,1331.7,2931.048,2.77,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),316646,57297,1331.7,2931.048,2.77,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼以外、2凸、2色以上)+雲菫,315739,34477,1331.7,2375.449,2.236,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼以外、2凸、2色以上)+雲菫,315739,40756,1331.7,2375.449,2.236,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),310519,53230,1176,2931.048,2.886,3.293,1.00:2.29,2.29,,0.54:0.51,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+防御%+防御%,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),310223,47986,1331.7,3486.647,2.77,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+防御%+防御%,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),310223,54981,1331.7,3486.647,2.77,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+防御%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,309357,39647,1176,2769.418,2.976,2.501644,0.87:1.73,2.00,,0.62:0.35,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+シロネン(灰燼4、2凸、2色以上)+フリーナ(フル),309164,55079,1176,2890.069,2.976,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,309115,36097,1176,1699.199,2.886,3.404,1.00:2.40,2.40,,0.60:0.40,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,309115,36097,1176,1699.199,2.886,3.404,1.00:2.40,2.40,,0.29:1.02,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+シロネン(灰燼以外、2凸、2色以上)+雲菫,308680,39765,1176,2890.069,1.976,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+防御%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,308353,40247,1176,3325.017,2.51,2.501644,0.87:1.73,2.00,,0.62:0.35,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼以外、2凸、2色以上)+雲菫,308127,33240,1331.7,2931.048,1.77,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼以外、2凸、2色以上)+雲菫,308127,40531,1331.7,2931.048,1.77,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+シロネン(灰燼以外、2凸、2色以上)+雲菫,307489,40314,1176,3445.668,1.51,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+シロネン(灰燼以外、2凸、2色以上)+雲菫,307196,40250,1176,3445.668,1.976,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,306587,33807,1331.7,1699.199,3.236,3.044,1.00:2.04,2.04,,0.78:0.04,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,306587,33807,1331.7,1699.199,3.236,3.044,1.00:2.04,2.04,,0.47:0.66,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,306587,38320,1331.7,1699.199,3.236,3.044,1.00:2.04,2.04,,0.78:0.04,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,306587,38320,1331.7,1699.199,3.236,3.044,1.00:2.04,2.04,,0.47:0.66,0,0,1.6
有楽御簾切(効果二倍),ファントム+華館,防御%+防御%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,306580,37254,1176,2540.698,2.42,3.044,1.00:2.04,2.04,,0.78:0.04,0,0,1.6
