武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,バフ合計,バフ共通,元素バフ,バフ落下,パーティ元素,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
赤角石塵滅砕,華館4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,175777,4344.987,2797.447,1.906,1.05,0.706,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,175641,3967.805,2365.987,2.166,1.05,0.966,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,175281,4344.987,2797.447,1.906,1.05,0.706,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,残響4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,175146,3967.805,2365.987,2.166,1.05,0.966,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,174520,4385.529,2831.804,1.816,1.05,0.466,0,Hydro:1、Geo:3、,1.00:2.10,2.10,,0.64:0.32,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,170352,3835.865,2365.987,1.816,1.05,0.466,0,Hydro:1、Geo:3、,1.00:2.41,2.41,,0.80:0.01,0,0,1.6
赤角石塵滅砕,ファントム4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,170352,3835.865,2365.987,1.816,1.05,0.466,0,Hydro:1、Geo:3、,1.00:2.41,2.41,,0.49:0.63,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,168374,4517.469,2831.804,1.7,1.05,0.5,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
赤角石塵滅砕,残響4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,167900,4517.469,2831.804,1.7,1.05,0.5,0,Hydro:1、Geo:3、,0.85:2.40,2.83,,0.80:0.00,0,0,1.6
赤角石塵滅砕,剣闘士4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,167319,3967.805,2365.987,2.016,1.05,0.466,0,Hydro:1、Geo:3、,1.00:2.05,2.05,,0.67:0.27,0,0,1.6
