武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,熟知,率ダメ,サブステ,スコア
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),118298.7,2751.16,230,0.91:1.81,0.49:0.43,1.4
雨裁,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),118077.5,2690.68,352,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),118077.5,2690.68,352,0.87:1.73,0.40:0.61,1.4
雨裁,ファントム4,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),117742.9,2690.68,165,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),117742.9,2690.68,165,0.87:1.73,0.40:0.61,1.4
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),117473.2,2751.16,230,0.81:2.00,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),117324.1,3057.9,230,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),117324.1,3057.9,230,0.85:1.70,0.41:0.58,1.4
赤角石塵滅砕,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),116647.4,2751.16,187,0.93:1.86,0.46:0.48,1.4
葦海の標(1),ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),115741,3057.9,187,0.88:1.75,0.07:1.25,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),114901.1,2869.32,180,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),114099.3,2869.32,180,0.81:2.00,0.70:0.00,1.4
雨裁,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),114066.5,2690.68,352,0.71:1.42,0.24:0.92,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),113977.3,3185.3,180,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),113977.3,3185.3,180,0.85:1.70,0.41:0.58,1.4
雨裁,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),113942.7,2690.68,395,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),113942.7,2690.68,395,0.69:1.37,0.58:0.25,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),113028.7,2751.16,187,0.91:1.81,0.49:0.43,1.4
葦海の標(1),ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112926.3,3057.9,187,1.00:2.06,0.23:0.94,1.4
赤角石塵滅砕,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112470.5,2751.16,374,0.93:1.86,0.46:0.48,1.4
雨裁,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112436.7,2804.36,345,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112436.7,2804.36,345,0.69:1.37,0.58:0.25,1.4
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112324,2751.16,417,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112240.1,2751.16,187,0.81:2.00,0.70:0.00,1.4
葦海の標(1),火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112097.6,3057.9,187,0.85:1.70,0.10:1.20,1.4
葦海の標(1),火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112097.6,3057.9,187,0.85:1.70,0.41:0.58,1.4
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),112026.7,2751.16,417,0.75:1.50,0.64:0.12,1.4
裁断,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111841,3195.84,230,0.80:1.59,0.15:1.09,1.4
裁断,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111841,3195.84,230,0.80:1.59,0.47:0.47,1.4
葦海の標(1),ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111596.6,3057.9,374,0.88:1.75,0.07:1.25,1.4
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111540.3,2751.16,417,0.81:2.00,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111398.7,3057.9,417,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111398.7,3057.9,417,0.85:1.70,0.41:0.58,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111088.5,2869.32,367,0.91:1.81,0.49:0.43,1.4
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111067.2,2983,230,0.82:1.65,0.40:0.60,1.4
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),111050.7,2983,230,0.81:1.67,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110907.6,3057.9,417,0.70:1.39,0.25:0.89,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110794.5,2869.32,367,0.75:1.50,0.64:0.12,1.4
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110715.1,2987.48,130,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110480.2,2751.16,187,0.75:1.50,0.64:0.12,1.4
雨裁,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110426.9,2918.04,295,0.69:1.37,0.26:0.87,1.4
雨裁,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110426.9,2918.04,295,0.69:1.37,0.58:0.25,1.4
裁断,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110372.8,3195.84,187,0.82:1.64,0.13:1.14,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110313.4,2869.32,367,0.81:2.00,0.70:0.00,1.4
雨裁,火魔女4(1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110304,2690.68,165,0.69:1.37,0.26:0.87,1.4
雨裁,火魔女4(1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110304,2690.68,165,0.69:1.37,0.58:0.25,1.4
雨裁,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110303.5,2690.68,352,0.69:1.37,0.26:0.87,1.4
雨裁,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110303.5,2690.68,352,0.69:1.37,0.58:0.25,1.4
裁断,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110295.8,3195.84,187,0.98:1.95,0.29:0.83,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110195.4,3185.3,367,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110195.4,3185.3,367,0.85:1.70,0.41:0.58,1.4
裁断,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),110100.2,3195.84,187,1.00:1.90,0.00:1.40,1.4
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109942.6,2987.48,130,0.81:2.00,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109845.9,3312.7,130,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109845.9,3312.7,130,0.85:1.70,0.41:0.58,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109709.6,3185.3,367,0.70:1.39,0.25:0.89,1.4
黒岩完凸(平均),ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109590.6,2983,187,0.85:1.70,0.38:0.64,1.4
葦海の標(1),火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109376.6,3057.9,187,0.70:1.39,0.25:0.89,1.4
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109373.9,2987.48,317,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109324.9,2751.16,187,1.00:2.17,0.31:0.79,1.4
赤角石塵滅砕,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109324.9,2751.16,187,1.00:2.17,0.62:0.17,1.4
赤角石塵滅砕,楽団+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109200.3,2751.16,160,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,楽園+金メッキ,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109200.3,2751.16,160,0.91:1.81,0.49:0.43,1.4
黒岩完凸(平均),ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109107,2983,187,1.00:2.01,0.22:0.96,1.4
黒岩完凸(平均),ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109107,2983,187,1.00:2.01,0.53:0.33,1.4
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),109084.4,2987.48,317,0.75:1.50,0.64:0.12,1.4
雨裁,ファントム4,元チャ+元素バフ+会心率,ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),108783.3,2853.08,265,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,元チャ+元素バフ+会心ダメージ,ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴)+夜蘭(終焉、9秒平均),108783.3,2853.08,265,0.87:1.73,0.40:0.61,1.4
裁断,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108771,3332.48,180,0.80:1.59,0.15:1.09,1.4
裁断,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),108771,3332.48,180,0.80:1.59,0.47:0.47,1.4
