武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,元素反応,率ダメ,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),99968,4537,27330,1.886,3.174,287,2.208852,1.00:2.17,,0.68:0.01,0,0,1.36
護摩,ファントム4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),99968,4537,27330,1.886,3.174,287,2.208852,1.00:2.17,,0.37:0.63,0,0,1.36
護摩,ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),99611,4537,27330,1.886,2.735384,474,2.553895,0.93:1.86,,0.52:0.32,0,0,1.36
護摩,しめ縄4,元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),98583,4352,23442,1.786,2.645298,287,2.208852,0.91:1.81,,0.55:0.27,0,0,1.36
赤砂の杖(スキル命中1),ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),97448,4121,24220,1.886,2.946365,474,2.553895,0.99:1.97,,0.14:1.09,0,0,1.36
護摩,しめ縄4,元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+モナ(5/9秒平均)+夜蘭(終焉、9秒平均),97278,4665,27330,1.816,2.793618,287,2.433852,0.95:1.89,,0.51:0.35,0,0,1.36
護摩,ファントム4,HP%+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),97245,5121,34578,1.886,2.735384,287,2.208852,0.93:1.86,,0.52:0.32,0,0,1.36
護摩,ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),96920,4537,27330,1.42,3.174,474,2.553895,1.00:2.17,,0.68:0.01,0,0,1.36
護摩,ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),96920,4537,27330,1.42,3.174,474,2.553895,1.00:2.17,,0.37:0.63,0,0,1.36
護摩,しめ縄4,元素熟知+炎バフ+会心ダメージ,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),96248,4352,23442,1.786,2.58264,287,2.208852,0.73:2.17,,0.68:0.00,0,0,1.36
護摩,しめ縄4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),96066,4665,27330,2.236,2.645298,287,2.208852,0.91:1.81,,0.55:0.27,0,0,1.36
護摩,しめ縄4,元素熟知+炎バフ+会心ダメージ,ベネット(西風、旧貴族)+モナ(5/9秒平均)+夜蘭(終焉、9秒平均),95971,4665,27330,1.816,2.75608,287,2.433852,0.81:2.17,,0.68:0.00,0,0,1.36
護摩,しめ縄4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),95078,4665,27330,1.77,2.645298,474,2.553895,0.91:1.81,,0.55:0.27,0,0,1.36
護摩,火魔女4(1),元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),95012,4224,23442,1.511,2.645298,287,2.433852,0.91:1.81,,0.55:0.27,0,0,1.36
護摩,ファントム4,HP%+炎バフ+元素熟知,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),94961,3955,34578,1.856,2.735384,287,2.208852,0.93:1.86,,0.52:0.32,0,0,1.36
護摩,しめ縄4,元素熟知+元素熟知+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),94917,4352,23442,1.32,2.645298,474,2.553895,0.91:1.81,,0.55:0.27,0,0,1.36
護摩,ファントム4,HP%+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),94619,5121,34578,1.42,3.174,287,2.208852,1.00:2.17,,0.68:0.01,0,0,1.36
護摩,ファントム4,HP%+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),94619,5121,34578,1.42,3.174,287,2.208852,1.00:2.17,,0.37:0.63,0,0,1.36
赤砂の杖(スキル命中0),ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),94309,3988,24220,1.886,2.946365,474,2.553895,0.99:1.97,,0.14:1.09,0,0,1.36
護摩,ファントム4,HP%+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),94281,5121,34578,1.42,2.735384,474,2.553895,0.93:1.86,,0.52:0.32,0,0,1.36
護摩,火魔女4(1),元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),94188,4537,27330,1.961,2.645298,287,2.433852,0.91:1.81,,0.55:0.27,0,0,1.36
赤砂の杖(スキル命中1),ファントム4,元素熟知+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),94044,4270,24220,1.42,2.946365,661,2.836325,0.99:1.97,,0.14:1.09,0,0,1.36
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),93913,3371,27330,1.856,3.174,287,2.208852,1.00:2.17,,0.68:0.01,0,0,1.36
護摩,ファントム4,元素熟知+炎バフ+会心率,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),93913,3371,27330,1.856,3.174,287,2.208852,1.00:2.17,,0.37:0.63,0,0,1.36
赤砂の杖(スキル命中1),しめ縄4,元素熟知+元素熟知+会心ダメージ,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),93874,3994,20332,1.32,2.850888,474,2.553895,0.96:1.92,,0.47:0.42,0,0,1.36
赤砂の杖(スキル命中1),しめ縄4,元素熟知+元素熟知+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),93874,3994,20332,1.32,2.850888,474,2.553895,0.96:1.92,,0.16:1.04,0,0,1.36
