武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,元素反応,率ダメ,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
護摩,ファントム4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),94110,4537,27330,1.886,2.988018,287,2.208852,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),93633,4537,27330,1.886,2.97288,287,2.208852,0.91:2.17,,0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),91241,4537,27330,1.42,2.988018,474,2.553895,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),90779,4537,27330,1.42,2.97288,474,2.553895,0.91:2.17,,0.50:0.00,0,0,1
護摩,ファントム4,HP%+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),89074,5121,34578,1.42,2.988018,287,2.208852,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,HP%+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),88623,5121,34578,1.42,2.97288,287,2.208852,0.91:2.17,,0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),88410,3371,27330,1.856,2.988018,287,2.208852,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),87989,4537,27330,1.886,2.416245,474,2.553895,0.84:1.68,,0.43:0.14,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),87962,3371,27330,1.856,2.97288,287,2.208852,0.91:2.17,,0.50:0.00,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),87018,4352,23442,1.786,2.334978,287,2.208852,0.82:1.63,,0.46:0.09,0,0,1
護摩,ファントム4,HP%+元素熟知+会心率,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),86806,3955,34578,1.39,2.988018,287,2.208852,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,HP%+元素熟知+会心ダメージ,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),86366,3955,34578,1.39,2.97288,287,2.208852,0.91:2.17,,0.50:0.00,0,0,1
赤砂の杖(スキル命中1),ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),86238,4121,24220,1.886,2.607424,474,2.553895,0.90:1.79,,0.05:0.91,0,0,1
赤砂の杖(スキル命中1),ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),86085,4121,24220,1.42,3.104,474,2.553895,1.00:2.10,,0.20:0.60,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+モナ(5/9秒平均)+夜蘭(終焉、9秒平均),85971,4665,27330,1.816,2.468898,287,2.433852,0.86:1.71,,0.42:0.17,0,0,1
護摩,ファントム4,HP%+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),85900,5121,34578,1.886,2.416245,287,2.208852,0.84:1.68,,0.43:0.14,0,0,1
赤砂の杖(スキル命中1),ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),85568,3971,24220,1.886,3.104,287,2.208852,1.00:2.10,,0.20:0.60,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),85542,3371,27330,1.39,2.988018,474,2.553895,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,HP%+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),85496,5121,34578,1.886,2.988018,100,1.777778,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+夜蘭(終焉、9秒平均),85158,3692,27330,1.556,2.988018,287,2.208852,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),85108,3371,27330,1.39,2.97288,474,2.553895,0.91:2.17,,0.50:0.00,0,0,1
護摩,ファントム4,HP%+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),85063,5121,34578,1.886,2.97288,100,1.777778,0.91:2.17,,0.50:0.00,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),84797,4665,27330,2.236,2.334978,287,2.208852,0.82:1.63,,0.46:0.09,0,0,1
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+夜蘭(終焉、9秒平均),84727,3692,27330,1.556,2.97288,287,2.208852,0.91:2.17,,0.50:0.00,0,0,1
護摩,ファントム4,元素熟知+攻撃%+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),84702,4870,27330,1.42,2.988018,287,2.208852,1.00:1.99,,0.28:0.45,0,0,1
護摩,ファントム4,元素熟知+攻撃%+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),84272,4870,27330,1.42,2.97288,287,2.208852,0.91:2.17,,0.50:0.00,0,0,1
護摩,しめ縄4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83924,4665,27330,1.77,2.334978,474,2.553895,0.82:1.63,,0.46:0.09,0,0,1
護摩,ファントム4,HP%+炎バフ+元素熟知,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),83882,3955,34578,1.856,2.416245,287,2.208852,0.84:1.68,,0.43:0.14,0,0,1
護摩,火魔女4(1),元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),83866,4224,23442,1.511,2.334978,287,2.433852,0.82:1.63,,0.46:0.09,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83836,3891,24220,1.886,3.104,287,2.208852,1.00:2.10,,0.20:0.60,0,0,1
護摩,しめ縄4,元素熟知+元素熟知+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),83783,4352,23442,1.32,2.334978,474,2.553895,0.82:1.63,,0.46:0.09,0,0,1
護摩,ファントム4,HP%+炎バフ+会心率,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),83488,3955,34578,1.856,2.988018,100,1.777778,1.00:1.99,,0.28:0.45,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83460,3988,24220,1.886,2.607424,474,2.553895,0.90:1.79,,0.05:0.91,0,0,1
赤砂の杖(スキル命中0),ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83312,3988,24220,1.42,3.104,474,2.553895,1.00:2.10,,0.20:0.60,0,0,1
護摩,ファントム4,HP%+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83281,5121,34578,1.42,2.416245,474,2.553895,0.84:1.68,,0.43:0.14,0,0,1
赤砂の杖(スキル命中1),ファントム4,元素熟知+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83226,4270,24220,1.42,2.607424,661,2.836325,0.90:1.79,,0.05:0.91,0,0,1
護摩,火魔女4(1),元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),83139,4537,27330,1.961,2.334978,287,2.433852,0.82:1.63,,0.46:0.09,0,0,1
護摩,ファントム4,HP%+炎バフ+会心ダメージ,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),83065,3955,34578,1.856,2.97288,100,1.777778,0.91:2.17,,0.50:0.00,0,0,1
赤砂の杖(スキル命中1),しめ縄4,元素熟知+元素熟知+会心ダメージ,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),83003,3994,20332,1.32,2.520768,474,2.553895,0.87:1.74,,0.38:0.24,0,0,1
赤砂の杖(スキル命中1),しめ縄4,元素熟知+元素熟知+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),83003,3994,20332,1.32,2.520768,474,2.553895,0.87:1.74,,0.07:0.86,0,0,1
赤砂の杖(スキル命中1),しめ縄4,元素熟知+炎バフ+会心ダメージ,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),82980,3844,20332,1.786,2.520768,287,2.208852,0.87:1.74,,0.38:0.24,0,0,1
赤砂の杖(スキル命中1),しめ縄4,元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),82980,3844,20332,1.786,2.520768,287,2.208852,0.87:1.74,,0.07:0.86,0,0,1
和璞鳶,ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),82940,4134,24220,2.006,2.774728,287,2.208852,0.94:1.88,,0.31:0.38,0,0,1
和璞鳶,ファントム4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),82940,4134,24220,2.006,2.774728,287,2.208852,0.94:1.88,,0.00:1.00,0,0,1
護摩,金メッキ4(同元素0),元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),82814,4537,27330,1.736,2.334978,517,2.623718,0.82:1.63,,0.46:0.09,0,0,1
護摩,ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+万葉(翠緑4)+夜蘭(終焉、9秒平均),82660,3371,27330,1.856,2.416245,474,2.553895,0.84:1.68,,0.43:0.14,0,0,1
護摩,火魔女4(1),元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+モナ(5/9秒平均)+夜蘭(終焉、9秒平均),82412,4537,27330,1.541,2.468898,287,2.658852,0.86:1.71,,0.42:0.17,0,0,1
護摩,しめ縄4,元素熟知+炎バフ+会心ダメージ,ベネット(西風、旧貴族)+モナ(5/9秒平均)+夜蘭(終焉、9秒平均),82382,4665,27330,1.816,2.36584,287,2.433852,0.63:2.17,,0.50:0.00,0,0,1
護摩,金メッキ4(同元素0),元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),82307,4224,23442,1.286,2.334978,517,2.623718,0.82:1.63,,0.46:0.09,0,0,1
赤砂の杖(スキル命中1),金メッキ4(同元素0),元素熟知+炎バフ+会心ダメージ,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),82293,3912,20332,1.286,2.520768,517,2.623718,0.87:1.74,,0.38:0.24,0,0,1
赤砂の杖(スキル命中1),金メッキ4(同元素0),元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),82293,3912,20332,1.286,2.520768,517,2.623718,0.87:1.74,,0.07:0.86,0,0,1
赤砂の杖(スキル命中1),しめ縄4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),82286,4237,24220,1.77,2.520768,474,2.553895,0.87:1.74,,0.38:0.24,0,0,1
